player_name,nationality,matches_played,avg_match_score,par_score,par_tier,best_match_score,best_win
LIU Liang,CHN,5,1.3,0.4567,Above Average,2.0,Jia Heng Jason TEH
LOH Kean Yew,SGP,118,1.198,0.3547,Above Average,2.6,Kunlavut VITIDSARN
LU Guang Zu,CHN,98,1.1263,0.283,Average,3.0,Kunlavut VITIDSARN
Lakshay SHARMA,IND,1,0.6,-0.2433,Below Average,0.6,
Lakshya SEN,IND,102,1.2099,0.3666,Above Average,2.8,Anders ANTONSEN
Lucas CLAERBOUT,FRA,5,0.92,0.0767,Below Average,1.6,Luís Enrique PEÑALVER
Luis Armando MONTOYA NAVARRO,MEX,1,0.4,-0.4433,Below Average,0.4,
Luis Ramon GARRIDO,MEX,1,0.0,-0.8433,Below Average,0.0,
Luka WRABER,AUT,1,1.0,0.1567,Average,1.0,Max WEISSKIRCHEN
Luís Enrique PEÑALVER,ESP,3,0.2667,-0.5766,Below Average,0.4,
Mads CHRISTOPHERSEN,DEN,22,0.7205,-0.1228,Below Average,1.6,Luís Enrique PEÑALVER
Magnus JOHANNESEN,DEN,52,0.8621,0.0188,Below Average,1.87,LIN Chun-Yi
Manraj SINGH,IND,5,1.1,0.2567,Average,2.1,PRANNOY H. S.
Mark CALJOUW,NED,11,0.8,-0.0433,Below Average,1.8,Alwi FARHAN
Matthias KICKLITZ,GER,5,0.88,0.0367,Below Average,1.6,Kalle KOLJONEN
Max WEISSKIRCHEN,GER,3,0.2667,-0.5766,Below Average,0.6,
Meiraba Luwang MAISNAM,IND,9,0.9444,0.1011,Average,2.0,Nhat NGUYEN
Mikolaj SZYMANOWSKI,POL,1,0.4,-0.4433,Below Average,0.4,
Minoru KOGA,JPN,8,1.425,0.5817,Elite,2.4,LI Shi Feng
Misha ZILBERMAN,ISR,26,0.6558,-0.1875,Below Average,1.65,Abhishek YELIGAR
Mithun MANJUNATH,IND,23,0.7504,-0.0929,Below Average,2.0,Magnus JOHANNESEN
Moh. Zaki UBAIDILLAH,INA,20,1.2175,0.3742,Above Average,2.4,Alwi FARHAN
Muhamad YUSUF,INA,2,0.5,-0.3433,Below Average,0.6,
NG Ka Long Angus,HKG,105,1.043,0.1998,Average,2.5,Anders ANTONSEN
NG Tze Yong,MAS,40,1.14,0.2967,Average,2.0,Nhat NGUYEN
NGUYEN Hai Dang,VIE,13,0.8462,0.0029,Below Average,1.8,LE Duc Phat
Nathan TANG,AUS,2,0.3,-0.5433,Below Average,0.4,
Nhat NGUYEN,IRL,68,0.9907,0.1474,Average,2.6,LEE Zii Jia
Orijit CHALIHA,IND,1,0.6,-0.2433,Below Average,0.6,
PARK Sang Yong,KOR,3,0.9333,0.09,Average,1.6,Takuma OBAYASHI
PRANNOY H. S.,IND,65,1.0031,0.1598,Average,2.08,Lakshya SEN
PUI Pang Fong,MAC,2,0.6,-0.2433,Below Average,0.8,
Pablo ABIAN,ESP,8,0.5312,-0.312,Below Average,1.2,CHI Yu Jen
Panitchaphon TEERARATSAKUL,THA,33,1.1885,0.3452,Above Average,2.5,CHOU Tien Chen
Prahdiska Bagas SHUJIWO,INA,3,1.4,0.5567,Elite,2.0,Kiran GEORGE
Priyanshu RAJAWAT,IND,61,0.9611,0.1179,Average,2.5,Anders ANTONSEN
Qualification - Q2,,1,0.0,-0.8433,Below Average,0.0,
Raghu MARISWAMY,IND,2,0.4,-0.4433,Below Average,0.6,
Rasmus GEMKE,DEN,97,1.0358,0.1925,Average,2.4,CHOU Tien Chen
Ravi RAVI,IND,2,0.3,-0.5433,Below Average,0.4,
Ricky TANG,AUS,3,0.2667,-0.5766,Below Average,0.4,
Riki TAKEI,JPN,2,0.6,-0.2433,Below Average,0.8,
Riku HATANO,JPN,18,0.9944,0.1511,Average,2.1,SU Li Yang
Rithvik Sanjeevi SATISH KUMAR,IND,7,0.8286,-0.0147,Below Average,1.8,Kantaphon WANGCHAROEN
S.Sankar Muthusamy SUBRAMANIAN,IND,34,0.8338,-0.0095,Below Average,2.6,Anders ANTONSEN
SAI PRANEETH B.,IND,5,0.88,0.0367,Below Average,1.6,Mads CHRISTOPHERSEN
SHI Yu Qi,CHN,117,1.5337,0.6904,Elite,3.0,Anders ANTONSEN
SON Wan Ho,KOR,3,0.4,-0.4433,Below Average,0.6,
SOONG Joo Ven,MAS,12,0.905,0.0617,Below Average,1.86,Victor LAI
SU Li Yang,,92,0.8909,0.0476,Below Average,2.28,PRANNOY H. S.
Sam YUAN,CAN,1,0.4,-0.4433,Below Average,0.4,
Sameer VERMA,IND,7,0.7586,-0.0847,Below Average,1.85,Ricky TANG
Saneeth DAYANAND,IND,3,0.9333,0.09,Average,1.6,Abhinav THAKUR
Saran JAMSRI,THA,5,0.69,-0.1533,Below Average,1.25,Chico Aura DWI WARDOYO
Sathish Kumar KARUNAKARAN,IND,23,0.8807,0.0374,Below Average,2.385,CHOU Tien Chen
Shashwat DALAL,IND,1,0.4,-0.4433,Below Average,0.4,
Shesar Hiren RHUSTAVITO,INA,14,0.8214,-0.0219,Below Average,1.65,KIDAMBI Srikanth
Shogo OGAWA,JPN,15,1.1833,0.34,Above Average,2.2,Ayush SHETTY
Sholeh AIDIL,MAS,15,0.864,0.0207,Below Average,1.8,TAN Jia Jie
Siddhanth GUPTA,IND,2,1.0,0.1567,Average,1.6,Bharat RAGHAV
Siddharth Pratap SINGH,IND,1,0.6,-0.2433,Below Average,0.6,
Sitthikom THAMMASIN,THA,2,0.5,-0.3433,Below Average,0.6,
TAN Jia Jie,MAS,3,0.2,-0.6433,Below Average,0.4,
TING Yen-Chen,TPE,6,1.1333,0.29,Average,2.2,Priyanshu RAJAWAT
Takuma OBAYASHI,JPN,52,0.9012,0.0579,Below Average,2.0,Kantaphon WANGCHAROEN
Tarun Reddy KATAM,IND,1,0.6,-0.2433,Below Average,0.6,
Tharun MANNEPALLI,IND,33,1.0052,0.1619,Average,2.4,LEE Cheuk Yiu
Tobias KUENZI,SUI,3,0.3333,-0.51,Below Average,0.6,
Toma Junior POPOV,FRA,96,1.0882,0.2449,Average,2.64,Jonatan CHRISTIE
Tommy SUGIARTO,INA,1,0.6,-0.2433,Below Average,0.6,
